odor,gill-size,gill-color,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,spore-print-color,class
p,n,k,s,s,w,w,p,k,p
a,b,k,s,s,w,w,p,n,e
l,b,n,s,s,w,w,p,n,e
p,n,n,s,s,w,w,p,k,p
n,b,k,s,s,w,w,e,n,e
a,b,n,s,s,w,w,p,k,e
a,b,g,s,s,w,w,p,k,e
l,b,n,s,s,w,w,p,n,e
p,n,p,s,s,w,w,p,k,p
a,b,g,s,s,w,w,p,k,e
l,b,g,s,s,w,w,p,n,e
a,b,n,s,s,w,w,p,k,e
a,b,w,s,s,w,w,p,n,e
p,n,k,s,s,w,w,p,n,p
n,b,n,s,f,w,w,e,k,e
n,n,k,s,s,w,w,p,n,e
n,b,k,s,s,w,w,e,n,e
p,n,n,s,s,w,w,p,k,p
p,n,n,s,s,w,w,p,n,p
p,n,k,s,s,w,w,p,n,p
a,b,k,s,s,w,w,p,n,e
p,n,n,s,s,w,w,p,n,p
l,b,k,s,s,w,w,p,n,e
a,b,w,s,s,w,w,p,n,e
l,b,g,s,s,w,w,p,k,e
p,n,n,s,s,w,w,p,n,p
a,b,n,s,s,w,w,p,n,e
l,b,w,s,s,w,w,p,n,e
n,n,k,s,s,w,w,p,k,e
a,n,n,s,s,w,w,p,n,e
l,b,g,s,s,w,w,p,n,e
p,n,k,s,s,w,w,p,n,p
l,b,n,s,s,w,w,p,n,e
l,b,p,s,y,w,w,p,n,e
l,b,n,s,s,w,w,p,n,e
l,n,w,s,s,w,w,p,n,e
n,n,k,s,s,w,w,p,k,e
p,n,w,s,s,w,w,p,n,p
a,n,p,s,s,w,w,p,n,e
l,b,k,s,s,w,w,p,k,e
a,b,n,s,s,w,w,p,n,e
l,b,n,s,y,w,w,p,k,e
n,n,g,s,s,w,w,p,k,e
p,n,p,s,s,w,w,p,n,p
a,b,w,s,s,w,w,p,k,e
a,b,n,s,s,w,w,p,n,e
l,b,k,s,s,w,w,p,k,e
l,b,w,s,s,w,w,p,n,e
l,b,n,s,y,w,w,p,n,e
l,b,w,s,y,w,w,p,k,e
a,b,w,s,y,w,w,p,k,e
l,b,k,s,s,w,w,p,k,e
l,b,k,s,s,w,w,p,n,e
p,n,k,s,s,w,w,p,n,p
p,n,k,s,s,w,w,p,k,p
a,b,w,s,s,w,w,p,k,e
n,b,n,s,s,w,w,e,n,e
a,b,w,s,s,w,w,p,n,e
l,b,k,s,s,w,w,p,k,e
a,b,p,s,y,w,w,p,k,e
n,n,k,s,s,w,w,p,n,e
a,b,k,s,s,w,w,p,n,e
l,b,g,s,s,w,w,p,n,e
l,b,g,s,s,w,w,p,n,e
l,b,n,s,s,w,w,p,n,e
n,b,k,s,s,w,w,e,k,e
l,b,n,s,s,w,w,p,k,e
a,b,w,s,y,w,w,p,n,e
a,b,w,s,s,w,w,p,k,e
